FIPS,Rural-urban_Continuum Code_2013,Density per square mile of land area - Population
0,NA,87.4
1000,NA,94.4
1001,2,91.8
1003,3,114.6
1005,6,31
1007,1,36.8
1009,1,88.9
1011,6,17.5
1013,6,27
1015,3,195.7
1017,6,57.4
1019,6,46.9
1021,1,63
1023,9,15.2
1025,7,20.9
1027,9,23.1
1029,8,26.7
1031,4,73.6
1033,3,91.8
1035,7,15.6
1037,8,17.7
1039,6,36.6
1041,8,22.8
1043,4,109.4
1045,4,89.6
1047,4,44.8
1049,6,91.5
1051,2,128.2
1053,6,40.5
1055,3,195.2
1057,6,27.5
1059,6,50
1061,3,46.6
1063,8,14
1065,3,24.5
1067,3,30.8
1069,3,175.1
1071,6,49.4
1073,1,592.5
1075,8,24.1
1077,3,138.8
1079,3,49.7
1081,3,230.8
1083,2,147.8
1085,2,15.8
1087,6,35.2
1089,2,417.7
1091,7,21.5
1093,7,41.5
1095,4,164.4
1097,2,335.9
1099,7,22.5
1101,2,292.5
1103,3,206.3
1105,8,14.7
1107,3,22.4
1109,6,48.9
1111,6,39.5
1113,2,82.6
1115,1,132.3
1117,1,248.5
1119,8,15.2
1121,4,111.7
1123,6,58.1
1125,3,147.3
1127,1,84.7
1129,8,16.3
1131,9,13.1
1133,6,39.9
2000,NA,1.2
2013,9,0.4
2016,9,1.3
2020,2,171.2
2050,7,0.4
2060,9,2
2068,8,0.1
2070,9,0.3
2090,3,13.3
2100,9,1.1
2105,9,0.3
2110,5,11.6
2122,7,3.4
2130,7,2.8
2150,7,2.1
2158,9,NA
2164,9,0.1
2170,2,3.6
2180,7,0.4
2185,7,0.1
2188,7,0.2
2195,9,1.2
2198,9,1.4
2220,7,3.1
2230,9,2.1
2240,9,0.3
2261,9,0.3
2275,9,0.9
2282,9,0.1
2290,9,0
4000,NA,56.3
4001,6,6.4
4003,3,21.3
4005,3,7.2
4007,4,11.3
4009,7,8.1
4011,7,4.6
4012,6,4.6
4013,1,414.9
4015,3,15
4017,4,10.8
4019,2,106.7
4021,1,70
4023,4,38.3
4025,3,26
4027,3,35.5
5000,NA,56
5001,6,19.2
5003,7,23.6
5005,7,74.9
5007,2,261.2
5009,7,62.5
5011,7,17.7
5013,9,8.5
5015,6,43.6
5017,7,18.3
5019,7,26.6
5021,7,25.2
5023,6,46.9
5025,3,14.5
5027,7,32.1
5029,6,38.5
5031,3,136.4
5033,2,104.4
5035,1,83.5
5037,6,29
5039,6,12.2
5041,6,16.9
5043,6,22.3
5045,2,174.8
5047,6,29.8
5049,9,19.8
5051,3,141.7
5053,2,28.3
5055,4,72.9
5057,6,31.1
5059,6,53.5
5061,6,23.4
5063,7,48
5065,9,23.6
5067,6,28.4
5069,3,88.9
5071,7,38.7
5073,8,14.5
5075,6,29.6
5077,7,17.3
5079,3,25.2
5081,3,24.7
5083,6,31.6
5085,2,88.7
5087,2,18.8
5089,9,27.9
5091,3,69.5
5093,4,51.6
5095,7,13.4
5097,8,12.2
5099,7,14.6
5101,9,10.1
5103,7,35.6
5105,2,18.9
5107,6,31.3
5109,9,18.8
5111,3,32.4
5113,7,24.1
5115,5,76
5117,8,13.4
5119,2,503.8
5121,7,27.6
5123,6,44.5
5125,2,148
5127,6,12.6
5129,9,12.3
5131,2,236.4
5133,6,30.2
5135,7,28.6
5137,9,20.4
5139,7,40.1
5141,8,24.4
5143,2,215.6
5145,4,74.5
5147,9,12.4
5149,6,23.9
6000,NA,239.1
6001,1,2043.6
6003,8,1.6
6005,6,64.1
6007,3,134.4
6009,6,44.7
6011,6,18.6
6013,1,1465.2
6015,7,28.4
6017,1,106
6019,2,156.2
6021,6,21.4
6023,5,37.7
6025,3,41.8
6027,7,1.8
6029,2,103.3
6031,3,110.1
6033,4,51.5
6035,7,7.7
6037,1,2419.6
6039,3,70.6
6041,1,485.1
6043,8,12.6
6045,4,25.1
6047,2,132.2
6049,6,2.5
6051,7,4.7
6053,2,126.5
6055,3,182.4
6057,4,103.1
6059,1,3807.7
6061,1,247.6
6063,7,7.8
6065,1,303.8
6067,1,1470.8
6069,1,39.8
6071,1,101.5
6073,1,735.8
6075,1,17179.2
6077,2,492.6
6079,2,81.7
6081,1,1602.2
6083,2,155
6085,1,1381
6087,2,589.4
6089,3,46.9
6091,8,3.4
6093,6,7.2
6095,2,503
6097,2,307.1
6099,2,344.2
6101,3,157.3
6103,4,21.5
6105,8,4.3
6107,2,91.7
6109,4,24.9
6111,2,446.7
6113,1,197.9
6115,3,114.2
8000,NA,48.5
8001,1,378.2
8003,7,21.4
8005,1,716.7
8007,7,8.9
8009,9,1.5
8011,7,4.3
8013,2,405.6
8014,1,1691.9
8015,7,17.6
8017,9,1
8019,1,23
8021,9,6.4
8023,9,2.9
8025,8,7.4
8027,8,5.8
8029,6,27.1
8031,1,3922.6
8033,9,1.9
8035,1,339.7
8037,5,31
8039,1,12.5
8041,2,292.6
8043,4,30.5
8045,5,19.1
8047,1,36.3
8049,7,8
8051,7,4.7
8053,9,0.8
8055,6,4.2
8057,9,0.9
8059,1,699.5
8061,9,0.8
8063,7,3.8
8065,6,19.4
8067,4,30.3
8069,2,115.4
8071,7,3.2
8073,8,2.1
8075,7,12.4
8077,3,44.1
8079,9,0.8
8081,7,2.9
8083,6,12.6
8085,4,18.4
8087,6,22
8089,6,14.9
8091,9,8.2
8093,1,7.4
8095,9,6.5
8097,7,17.7
8099,7,7.7
8101,3,66.7
8103,9,2.1
8105,7,13.1
8107,7,10
8109,9,1.9
8111,9,1.8
8113,9,5.7
8115,9,4.3
8117,5,46
8119,2,41.9
8121,9,1.9
8123,2,63.4
8125,7,4.2
9000,NA,738.1
9001,2,1467.2
9003,1,1216.2
9005,4,206.3
9007,1,448.6
9009,2,1426.7
9011,2,412.2
9013,1,372.2
9015,2,230.9
10000,NA,460.8
10001,3,276.9
10003,1,1263.2
10005,2,210.6
11000,NA,9856.5
11001,1,9856.5
12000,NA,350.6
12001,2,282.7
12003,1,46.3
12005,3,222.6
12007,6,97
12009,2,535
12011,1,1444.9
12013,6,25.8
12015,3,235.2
12017,3,242.8
12019,1,315.8
12021,2,160.9
12023,4,84.7
12027,6,54.7
12029,6,23.3
12031,1,1133.9
12033,2,453.4
12035,2,197.1
12037,6,21.6
12039,2,89.8
12041,2,48.4
12043,6,16
12045,3,28.1
12047,6,28.8
12049,6,43.5
12051,4,34
12053,1,365.6
12055,3,97.2
12057,1,1204.9
12059,6,41.6
12061,3,274.5
12063,6,54.2
12065,2,24.7
12067,9,16.3
12069,1,316.6
12071,2,788.7
12073,2,413.1
12075,6,36.5
12077,8,10
12079,6,27.6
12081,2,434.5
12083,2,209.1
12085,2,269.2
12086,1,1315.5
12087,4,74.3
12089,1,113
12091,3,194.4
12093,4,52
12095,1,1268.5
12097,1,202.4
12099,1,670.2
12101,1,622.2
12103,1,3347.5
12105,2,334.9
12107,4,102.2
12109,1,316.4
12111,2,485.7
12113,2,149.6
12115,2,682.6
12117,1,1367
12119,3,170.8
12121,6,60.3
12123,6,21.6
12125,6,63.8
12127,2,449.2
12129,2,50.8
12131,3,53
12133,6,42.7
13000,NA,168.4
13001,7,36
13003,9,24.7
13005,7,42.9
13007,3,10.1
13009,4,177.3
13011,8,79.3
13013,1,432.7
13015,1,217.9
13017,7,70.5
13019,6,42.7
13021,3,622.8
13023,6,60.5
13025,3,41.6
13027,3,32.9
13029,2,69.3
13031,4,104.4
13033,2,28.2
13035,1,128.3
13037,8,23.9
13039,4,82.4
13043,7,45.3
13045,1,221.5
13047,2,394.3
13049,6,15.7
13051,2,621.7
13053,2,45.3
13055,6,83
13057,1,508.3
13059,3,979.1
13061,9,16.3
13063,1,1832.5
13065,6,8.5
13067,1,2026.4
13069,7,73.7
13071,6,83.6
13073,2,427.6
13075,6,75.8
13077,1,288.8
13079,3,38.9
13081,6,86
13083,2,95.6
13085,1,105.9
13087,6,46.6
13089,1,2585.7
13091,6,44
13093,6,38.1
13095,3,287.7
13097,1,661.8
13099,6,21.5
13101,3,9.7
13103,2,109.4
13105,6,57.4
13107,7,33.2
13109,6,60.2
13111,8,61.2
13113,1,548.3
13115,3,188.9
13117,1,783.5
13119,8,84.5
13121,1,1748
13123,6,66.3
13125,9,21.4
13127,3,189.7
13129,4,155.1
13131,6,55
13133,6,41.3
13135,1,1871.2
13137,6,155.5
13139,3,457.5
13141,7,20
13143,1,102
13145,2,69
13147,6,108.5
13149,1,40
13151,1,633
13153,3,372.5
13155,7,26.9
13157,4,178.1
13159,1,37.8
13161,7,45.6
13163,6,32.2
13165,6,24
13167,7,32.9
13169,3,72.8
13171,1,99.8
13173,3,54.4
13175,5,60
13177,3,79.5
13179,3,129.5
13181,2,38
13183,3,36.1
13185,3,220.2
13187,6,105.9
13189,2,85
13191,3,33.8
13193,6,36.8
13195,3,99.6
13197,2,23.9
13199,1,43.9
13201,8,21.7
13205,6,45.9
13207,3,66.8
13209,9,38.1
13211,1,51.4
13213,3,115
13215,2,877.5
13217,1,367.3
13219,3,178
13221,3,33.9
13223,1,455.8
13225,3,184.3
13227,1,126.8
13229,6,59.3
13231,1,82.7
13233,4,133.6
13235,3,48.2
13237,6,61.6
13239,9,16.6
13241,7,44
13243,6,18
13245,2,618.4
13247,1,656.5
13249,8,30
13251,6,22.6
13253,6,37.1
13255,1,326.1
13257,7,146.1
13259,8,13.2
13261,6,68
13263,8,17.5
13265,8,8.8
13267,6,53.2
13269,8,23.6
13271,7,37.7
13273,3,27.8
13275,4,82.1
13277,5,154.9
13279,7,74.8
13281,9,62.9
13283,7,34.5
13285,4,161.9
13287,6,31.3
13289,3,25.2
13291,9,66.3
13293,6,84
13295,2,154
13297,1,257.2
13299,5,40.7
13301,8,20.5
13303,7,31.2
13305,6,46.9
13307,8,13.4
13309,9,25.1
13311,6,112.8
13313,3,353.2
13315,8,24.5
13317,6,22.6
13319,8,21.4
13321,3,38
15000,NA,211.8
15001,5,45.9
15003,2,1586.7
15005,3,7.5
15007,5,108.2
15009,3,133.3
16000,NA,19
16001,2,372.8
16003,9,2.9
16005,3,74.5
16007,9,6.1
16009,6,12
16011,4,21.8
16013,7,8.1
16015,2,3.7
16017,6,23.6
16019,3,55.9
16021,7,8.6
16023,3,1.3
16025,9,1
16027,2,321.6
16029,6,3.9
16031,7,8.9
16033,9,0.6
16035,6,3.6
16037,8,0.9
16039,6,8.8
16041,3,19.3
16043,6,7.1
16045,2,29.8
16047,7,21.2
16049,6,1.9
16051,3,23.9
16053,7,37.5
16055,3,111.3
16057,4,34.6
16059,7,1.7
16061,8,8
16063,9,4.3
16065,4,80
16067,7,26.5
16069,3,46.3
16071,8,3.6
16073,2,1.5
16075,6,55.6
16077,6,5.6
16079,6,4.9
16081,9,22.6
16083,5,40.2
16085,8,2.7
16087,6,7
17000,NA,231.1
17001,5,78.5
17003,3,35
17005,1,46.7
17007,2,193
17009,7,22.7
17011,7,40.2
17013,1,20
17015,7,34.6
17017,6,36.3
17019,3,201.8
17021,6,49.1
17023,6,32.6
17025,7,29.5
17027,1,79.7
17029,5,106
17031,1,5495.1
17033,7,44.7
17035,9,31.9
17037,1,166.6
17039,3,41.7
17041,6,48
17043,1,2799.8
17045,6,29.8
17047,9,30.2
17049,7,71.5
17051,6,30.9
17053,3,29
17055,4,96.8
17057,6,42.8
17059,8,17.3
17061,6,25.6
17063,1,119.8
17065,7,19.5
17067,7,24.1
17069,9,24.3
17071,9,19.3
17073,2,61.3
17075,6,26.6
17077,3,103.1
17079,7,19.6
17081,7,68
17083,1,62.2
17085,6,37.7
17087,8,36.6
17089,1,990.8
17091,3,167.7
17093,1,358.2
17095,4,73.9
17097,1,1585.6
17099,4,100.4
17101,7,45.2
17103,6,49.7
17105,4,37.3
17107,6,49
17109,5,55.3
17111,1,511.9
17113,3,143.3
17115,3,190.8
17117,1,55.4
17119,1,376.3
17121,4,68.9
17123,2,32.7
17125,6,27.2
17127,7,65
17129,3,40.4
17131,2,29.3
17133,1,85.6
17135,6,42.8
17137,4,62.5
17139,6,44.2
17141,4,70.5
17143,2,301.2
17145,6,50.6
17147,3,38.1
17149,7,19.8
17151,8,12.1
17153,8,30.9
17155,8,37.5
17157,6,58.2
17159,7,45.1
17161,2,345
17163,1,410.6
17165,6,65.6
17167,3,227.4
17169,7,17.3
17171,9,21.3
17173,6,29.5
17175,2,20.8
17177,4,84.5
17179,2,208.6
17181,6,43.1
17183,3,90.9
17185,7,53.5
17187,6,32.6
17189,6,26.2
17191,7,23.5
17193,6,29.6
17195,4,85.5
17197,1,809.6
17199,3,157.9
17201,2,575.2
17203,2,73.3
18000,NA,181
18001,6,101.4
18003,2,540.6
18005,3,188.7
18007,3,21.8
18009,6,77.3
18011,1,133.9
18013,1,48.9
18015,3,54.1
18017,4,94.5
18019,1,295.6
18021,3,75.2
18023,6,82
18025,8,35.1
18027,7,73.7
18029,1,164.1
18031,6,69.1
18033,4,116.4
18035,3,300.1
18037,5,98
18039,3,426.5
18041,6,112.9
18043,1,504.1
18045,6,43.6
18047,6,60.1
18049,7,56.6
18051,6,68.7
18053,4,169.2
18055,6,61.1
18057,1,696.4
18059,1,228.8
18061,1,81.2
18063,1,357.4
18065,4,126.2
18067,3,282.4
18069,6,97
18071,4,83.2
18073,1,59.8
18075,6,55.4
18077,6,89.9
18079,6,75.7
18081,1,435.8
18083,5,74.5
18085,4,145.6
18087,6,97.8
18089,1,994.1
18091,3,186.3
18093,6,102.7
18095,1,291.3
18097,1,2279.6
18099,6,106.1
18101,7,30.8
18103,6,98.7
18105,3,349.7
18107,6,75.6
18109,1,170.5
18111,1,35.5
18113,6,115.7
18115,1,71.1
18117,6,49.8
18119,3,56
18121,6,39
18123,6,50.7
18125,8,38.4
18127,1,393
18129,2,63.3
18131,6,30.9
18133,1,79
18135,6,57.9
18137,6,64.6
18139,6,42.6
18141,2,583
18143,1,127
18145,1,108.1
18147,8,52.8
18149,6,75.6
18151,7,110.7
18153,3,48
18155,8,48.1
18157,3,345.7
18159,6,61.2
18161,1,46.6
18163,2,769.7
18165,3,63.1
18167,3,267.4
18169,6,79.7
18171,8,23.3
18173,2,155.1
18175,1,55
18177,5,171.5
18179,2,75.1
18181,6,48.8
18183,2,99.2
19000,NA,54.5
19001,8,13.5
19003,9,9.5
19005,6,22.4
19007,7,25.9
19009,8,13.8
19011,2,36.4
19013,3,231.7
19015,6,46
19017,3,55.7
19019,6,36.7
19021,7,35.2
19023,8,25.6
19025,9,17
19027,7,36.6
19029,6,24.7
19031,6,31.9
19033,5,77.7
19035,6,20.9
19037,6,24.7
19039,6,21.5
19041,7,29.4
19043,8,23.3
19045,4,70.7
19047,7,23.9
19049,2,112.4
19051,9,17.4
19053,9,15.9
19055,6,30.7
19057,5,96.9
19059,7,43.8
19061,3,154
19063,7,26
19065,6,28.6
19067,7,32.6
19069,7,18.4
19071,8,14.6
19073,6,16.4
19075,3,24.8
19077,2,18.5
19079,6,27.2
19081,7,19.9
19083,6,30.8
19085,2,21.4
19087,6,46.4
19089,6,20.2
19091,7,22.6
19093,8,16.4
19095,6,27.9
19097,6,31.2
19099,6,50.4
19101,7,38.7
19103,3,213.1
19105,2,35.9
19107,8,18.1
19109,7,16
19111,5,69.3
19113,2,294.6
19115,8,28.3
19117,6,20.7
19119,8,19.7
19121,2,27.9
19123,7,39.2
19125,6,60.1
19127,4,71
19129,2,34.4
19131,7,23
19133,6,13.3
19135,7,18.4
19137,6,25.3
19139,4,97.7
19141,7,25.1
19143,7,16.2
19145,6,29.8
19147,7,16.7
19149,3,29
19151,9,12.7
19153,2,750.5
19155,2,98
19157,7,32.3
19159,9,9.6
19161,9,18
19163,2,360.7
19165,6,20.6
19167,7,43.9
19169,3,156.3
19171,6,24.6
19173,9,11.9
19175,6,29.6
19177,9,15.6
19179,5,82.5
19181,2,81.1
19183,3,38.2
19185,9,12.2
19187,5,53.1
19189,7,27.1
19191,7,30.5
19193,3,117.1
19195,9,19
19197,7,22.8
20000,NA,34.9
20001,7,26.7
20003,6,14
20005,6,39.3
20007,9,4.3
20009,7,30.9
20011,6,23.9
20013,6,17.5
20015,2,46.1
20017,9,3.6
20019,8,5.7
20021,6,36.8
20023,9,2.7
20025,9,2.3
20027,6,13.2
20029,7,13.3
20031,6,13.7
20033,9,2.4
20035,4,32.3
20037,4,66.4
20039,9,3.3
20041,7,23.3
20043,3,20.2
20045,3,243.1
20047,9,4.9
20049,8,4.5
20051,5,31.6
20053,7,9.1
20055,5,28.2
20057,5,30.8
20059,6,45.5
20061,4,89.3
20063,9,2.5
20065,9,2.9
20067,7,13.6
20069,9,6.9
20071,9,1.6
20073,6,5.9
20075,9,2.7
20077,8,7.5
20079,2,64.3
20081,9,7.4
20083,9,2.2
20085,3,20.5
20087,3,35.9
20089,9,3.4
20091,1,1149.6
20093,9,4.6
20095,2,9.1
20097,9,3.5
20099,7,33.5
20101,9,2.4
20103,1,164.7
20105,9,4.5
20107,1,16.3
20109,9,2.6
20111,4,39.8
20113,7,32.5
20115,6,13.4
20117,6,11.2
20119,9,4.7
20121,1,57
20123,7,9.1
20125,5,55.1
20127,8,8.5
20129,9,4.4
20131,6,14.2
20133,7,28.9
20135,9,2.9
20137,7,6.5
20139,3,23.1
20141,9,4.3
20143,9,8.5
20145,7,9.2
20147,7,6.4
20149,3,25.7
20151,7,13.1
20153,9,2.4
20155,4,51.4
20157,9,6.9
20159,7,13.9
20161,3,116.6
20163,9,5.8
20165,9,4.6
20167,7,7.9
20169,5,77.2
20171,7,6.9
20173,2,499.6
20175,5,35.9
20177,3,327.1
20179,9,2.9
20181,7,5.7
20183,9,4.3
20185,9,5.6
20187,9,3.3
20189,7,7.9
20191,2,20.4
20193,7,7.4
20195,9,3.4
20197,3,8.9
20199,9,1.6
20201,9,6.5
20203,9,3.1
20205,7,16.5
20207,9,6.6
20209,1,1039
21000,NA,109.9
21001,7,46
21003,3,58
21005,6,106.1
21007,9,33.4
21009,6,86.5
21011,8,41.6
21013,7,79.9
21015,1,482.3
21017,2,69
21019,2,309.9
21021,7,157.8
21023,1,41.3
21025,7,28.2
21027,8,35.4
21029,1,250.2
21031,3,29.8
21033,7,37.7
21035,7,96.6
21037,1,597
21039,9,26.9
21041,6,84.1
21043,6,67.7
21045,9,35.9
21047,2,103.1
21049,2,141.1
21051,7,46.3
21053,9,52.1
21055,7,25.9
21057,9,22.5
21059,3,210.9
21061,3,40.2
21063,9,33.5
21065,6,58
21067,2,1042.8
21069,7,41.2
21071,7,100.3
21073,4,237.2
21075,9,33.2
21077,1,84.8
21079,6,73.5
21081,1,95.6
21083,7,67.3
21085,6,51.8
21087,8,39.4
21089,2,107.2
21091,3,45.6
21093,3,169.3
21095,7,62.9
21097,6,61.5
21099,8,44.2
21101,2,105.9
21103,1,53.9
21105,9,20.2
21107,5,86.6
21109,9,39.1
21111,1,1948.1
21113,2,282.3
21115,7,89.2
21117,1,996.7
21119,9,46.5
21121,7,82.5
21123,3,54.3
21125,5,135.6
21127,6,38.2
21129,9,37.8
21131,9,28.2
21133,9,72.6
21135,8,28.7
21137,7,74.1
21139,9,30.4
21141,6,48.6
21143,9,38.9
21145,5,263.6
21147,9,42.9
21149,3,37.8
21151,4,189.6
21153,9,43.2
21155,7,57.8
21157,7,104.4
21159,9,56.3
21161,6,72.8
21163,3,93.6
21165,9,31
21167,6,85.7
21169,9,34.9
21171,8,33.3
21173,6,134.3
21175,9,36.5
21177,6,67.4
21179,6,104
21181,8,36.6
21183,6,40.6
21185,1,322.2
21187,8,30.9
