FIPS,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013
0,87.4,NA
1000,94.4,NA
1001,91.8,2
1003,114.6,3
1005,31,6
1007,36.8,1
1009,88.9,1
1011,17.5,6
1013,27,6
1015,195.7,3
1017,57.4,6
1019,46.9,6
1021,63,1
1023,15.2,9
1025,20.9,7
1027,23.1,9
1029,26.7,8
1031,73.6,4
1033,91.8,3
1035,15.6,7
1037,17.7,8
1039,36.6,6
1041,22.8,8
1043,109.4,4
1045,89.6,4
1047,44.8,4
1049,91.5,6
1051,128.2,2
1053,40.5,6
1055,195.2,3
1057,27.5,6
1059,50,6
1061,46.6,3
1063,14,8
1065,24.5,3
1067,30.8,3
1069,175.1,3
1071,49.4,6
1073,592.5,1
1075,24.1,8
1077,138.8,3
1079,49.7,3
1081,230.8,3
1083,147.8,2
1085,15.8,2
1087,35.2,6
1089,417.7,2
1091,21.5,7
1093,41.5,7
1095,164.4,4
1097,335.9,2
1099,22.5,7
1101,292.5,2
1103,206.3,3
1105,14.7,8
1107,22.4,3
1109,48.9,6
1111,39.5,6
1113,82.6,2
1115,132.3,1
1117,248.5,1
1119,15.2,8
1121,111.7,4
1123,58.1,6
1125,147.3,3
1127,84.7,1
1129,16.3,8
1131,13.1,9
1133,39.9,6
2000,1.2,NA
2013,0.4,9
2016,1.3,9
2020,171.2,2
2050,0.4,7
2060,2,9
2068,0.1,8
2070,0.3,9
2090,13.3,3
2100,1.1,9
2105,0.3,9
2110,11.6,5
2122,3.4,7
2130,2.8,7
2150,2.1,7
2158,NA,9
2164,0.1,9
2170,3.6,2
2180,0.4,7
2185,0.1,7
2188,0.2,7
2195,1.2,9
2198,1.4,9
2220,3.1,7
2230,2.1,9
2240,0.3,9
2261,0.3,9
2275,0.9,9
2282,0.1,9
2290,0,9
4000,56.3,NA
4001,6.4,6
4003,21.3,3
4005,7.2,3
4007,11.3,4
4009,8.1,7
4011,4.6,7
4012,4.6,6
4013,414.9,1
4015,15,3
4017,10.8,4
4019,106.7,2
4021,70,1
4023,38.3,4
4025,26,3
4027,35.5,3
5000,56,NA
5001,19.2,6
5003,23.6,7
5005,74.9,7
5007,261.2,2
5009,62.5,7
5011,17.7,7
5013,8.5,9
5015,43.6,6
5017,18.3,7
5019,26.6,7
5021,25.2,7
5023,46.9,6
5025,14.5,3
5027,32.1,7
5029,38.5,6
5031,136.4,3
5033,104.4,2
5035,83.5,1
5037,29,6
5039,12.2,6
5041,16.9,6
5043,22.3,6
5045,174.8,2
5047,29.8,6
5049,19.8,9
5051,141.7,3
5053,28.3,2
5055,72.9,4
5057,31.1,6
5059,53.5,6
5061,23.4,6
5063,48,7
5065,23.6,9
5067,28.4,6
5069,88.9,3
5071,38.7,7
5073,14.5,8
5075,29.6,6
5077,17.3,7
5079,25.2,3
5081,24.7,3
5083,31.6,6
5085,88.7,2
5087,18.8,2
5089,27.9,9
5091,69.5,3
5093,51.6,4
5095,13.4,7
5097,12.2,8
5099,14.6,7
5101,10.1,9
5103,35.6,7
5105,18.9,2
5107,31.3,6
5109,18.8,9
5111,32.4,3
5113,24.1,7
5115,76,5
5117,13.4,8
5119,503.8,2
5121,27.6,7
5123,44.5,6
5125,148,2
5127,12.6,6
5129,12.3,9
5131,236.4,2
5133,30.2,6
5135,28.6,7
5137,20.4,9
5139,40.1,7
5141,24.4,8
5143,215.6,2
5145,74.5,4
5147,12.4,9
5149,23.9,6
6000,239.1,NA
6001,2043.6,1
6003,1.6,8
6005,64.1,6
6007,134.4,3
6009,44.7,6
6011,18.6,6
6013,1465.2,1
6015,28.4,7
6017,106,1
6019,156.2,2
6021,21.4,6
6023,37.7,5
6025,41.8,3
6027,1.8,7
6029,103.3,2
6031,110.1,3
6033,51.5,4
6035,7.7,7
6037,2419.6,1
6039,70.6,3
6041,485.1,1
6043,12.6,8
6045,25.1,4
6047,132.2,2
6049,2.5,6
6051,4.7,7
6053,126.5,2
6055,182.4,3
6057,103.1,4
6059,3807.7,1
6061,247.6,1
6063,7.8,7
6065,303.8,1
6067,1470.8,1
6069,39.8,1
6071,101.5,1
6073,735.8,1
6075,17179.2,1
6077,492.6,2
6079,81.7,2
6081,1602.2,1
6083,155,2
6085,1381,1
6087,589.4,2
6089,46.9,3
6091,3.4,8
6093,7.2,6
6095,503,2
6097,307.1,2
6099,344.2,2
6101,157.3,3
6103,21.5,4
6105,4.3,8
6107,91.7,2
6109,24.9,4
6111,446.7,2
6113,197.9,1
6115,114.2,3
8000,48.5,NA
8001,378.2,1
8003,21.4,7
8005,716.7,1
8007,8.9,7
8009,1.5,9
8011,4.3,7
8013,405.6,2
8014,1691.9,1
8015,17.6,7
8017,1,9
8019,23,1
8021,6.4,9
8023,2.9,9
8025,7.4,8
8027,5.8,8
8029,27.1,6
8031,3922.6,1
8033,1.9,9
8035,339.7,1
8037,31,5
8039,12.5,1
8041,292.6,2
8043,30.5,4
8045,19.1,5
8047,36.3,1
8049,8,7
8051,4.7,7
8053,0.8,9
8055,4.2,6
8057,0.9,9
8059,699.5,1
8061,0.8,9
8063,3.8,7
8065,19.4,6
8067,30.3,4
8069,115.4,2
8071,3.2,7
8073,2.1,8
8075,12.4,7
8077,44.1,3
8079,0.8,9
8081,2.9,7
8083,12.6,6
8085,18.4,4
8087,22,6
8089,14.9,6
8091,8.2,9
8093,7.4,1
8095,6.5,9
8097,17.7,7
8099,7.7,7
8101,66.7,3
8103,2.1,9
8105,13.1,7
8107,10,7
8109,1.9,9
8111,1.8,9
8113,5.7,9
8115,4.3,9
8117,46,5
8119,41.9,2
8121,1.9,9
8123,63.4,2
8125,4.2,7
9000,738.1,NA
9001,1467.2,2
9003,1216.2,1
9005,206.3,4
9007,448.6,1
9009,1426.7,2
9011,412.2,2
9013,372.2,1
9015,230.9,2
10000,460.8,NA
10001,276.9,3
10003,1263.2,1
10005,210.6,2
11000,9856.5,NA
11001,9856.5,1
12000,350.6,NA
12001,282.7,2
12003,46.3,1
12005,222.6,3
12007,97,6
12009,535,2
12011,1444.9,1
12013,25.8,6
12015,235.2,3
12017,242.8,3
12019,315.8,1
12021,160.9,2
12023,84.7,4
12027,54.7,6
12029,23.3,6
12031,1133.9,1
12033,453.4,2
12035,197.1,2
12037,21.6,6
12039,89.8,2
12041,48.4,2
12043,16,6
12045,28.1,3
12047,28.8,6
12049,43.5,6
12051,34,4
12053,365.6,1
12055,97.2,3
12057,1204.9,1
12059,41.6,6
12061,274.5,3
12063,54.2,6
12065,24.7,2
12067,16.3,9
12069,316.6,1
12071,788.7,2
12073,413.1,2
12075,36.5,6
12077,10,8
12079,27.6,6
12081,434.5,2
12083,209.1,2
12085,269.2,2
12086,1315.5,1
12087,74.3,4
12089,113,1
12091,194.4,3
12093,52,4
12095,1268.5,1
12097,202.4,1
12099,670.2,1
12101,622.2,1
12103,3347.5,1
12105,334.9,2
12107,102.2,4
12109,316.4,1
12111,485.7,2
12113,149.6,2
12115,682.6,2
12117,1367,1
12119,170.8,3
12121,60.3,6
12123,21.6,6
12125,63.8,6
12127,449.2,2
12129,50.8,2
12131,53,3
12133,42.7,6
13000,168.4,NA
13001,36,7
13003,24.7,9
13005,42.9,7
13007,10.1,3
13009,177.3,4
13011,79.3,8
13013,432.7,1
13015,217.9,1
13017,70.5,7
13019,42.7,6
13021,622.8,3
13023,60.5,6
13025,41.6,3
13027,32.9,3
13029,69.3,2
13031,104.4,4
13033,28.2,2
13035,128.3,1
13037,23.9,8
13039,82.4,4
13043,45.3,7
13045,221.5,1
13047,394.3,2
13049,15.7,6
13051,621.7,2
13053,45.3,2
13055,83,6
13057,508.3,1
13059,979.1,3
13061,16.3,9
13063,1832.5,1
13065,8.5,6
13067,2026.4,1
13069,73.7,7
13071,83.6,6
13073,427.6,2
13075,75.8,6
13077,288.8,1
13079,38.9,3
13081,86,6
13083,95.6,2
13085,105.9,1
13087,46.6,6
13089,2585.7,1
13091,44,6
13093,38.1,6
13095,287.7,3
13097,661.8,1
13099,21.5,6
13101,9.7,3
13103,109.4,2
13105,57.4,6
13107,33.2,7
13109,60.2,6
13111,61.2,8
13113,548.3,1
13115,188.9,3
13117,783.5,1
13119,84.5,8
13121,1748,1
13123,66.3,6
13125,21.4,9
13127,189.7,3
13129,155.1,4
13131,55,6
13133,41.3,6
13135,1871.2,1
13137,155.5,6
13139,457.5,3
13141,20,7
13143,102,1
13145,69,2
13147,108.5,6
13149,40,1
13151,633,1
13153,372.5,3
13155,26.9,7
13157,178.1,4
13159,37.8,1
13161,45.6,7
13163,32.2,6
13165,24,6
13167,32.9,7
13169,72.8,3
13171,99.8,1
13173,54.4,3
13175,60,5
13177,79.5,3
13179,129.5,3
13181,38,2
13183,36.1,3
13185,220.2,3
13187,105.9,6
13189,85,2
13191,33.8,3
13193,36.8,6
13195,99.6,3
13197,23.9,2
13199,43.9,1
13201,21.7,8
13205,45.9,6
13207,66.8,3
13209,38.1,9
13211,51.4,1
13213,115,3
13215,877.5,2
13217,367.3,1
13219,178,3
13221,33.9,3
13223,455.8,1
13225,184.3,3
13227,126.8,1
13229,59.3,6
13231,82.7,1
13233,133.6,4
13235,48.2,3
13237,61.6,6
13239,16.6,9
13241,44,7
13243,18,6
13245,618.4,2
13247,656.5,1
13249,30,8
13251,22.6,6
13253,37.1,6
13255,326.1,1
13257,146.1,7
13259,13.2,8
13261,68,6
13263,17.5,8
13265,8.8,8
13267,53.2,6
13269,23.6,8
13271,37.7,7
13273,27.8,3
13275,82.1,4
13277,154.9,5
13279,74.8,7
13281,62.9,9
13283,34.5,7
13285,161.9,4
13287,31.3,6
13289,25.2,3
13291,66.3,9
13293,84,6
13295,154,2
13297,257.2,1
13299,40.7,5
13301,20.5,8
13303,31.2,7
13305,46.9,6
13307,13.4,8
13309,25.1,9
13311,112.8,6
13313,353.2,3
13315,24.5,8
13317,22.6,6
13319,21.4,8
13321,38,3
15000,211.8,NA
15001,45.9,5
15003,1586.7,2
15005,7.5,3
15007,108.2,5
15009,133.3,3
16000,19,NA
16001,372.8,2
16003,2.9,9
16005,74.5,3
16007,6.1,9
16009,12,6
16011,21.8,4
16013,8.1,7
16015,3.7,2
16017,23.6,6
16019,55.9,3
16021,8.6,7
16023,1.3,3
16025,1,9
16027,321.6,2
16029,3.9,6
16031,8.9,7
16033,0.6,9
16035,3.6,6
16037,0.9,8
16039,8.8,6
16041,19.3,3
16043,7.1,6
16045,29.8,2
16047,21.2,7
16049,1.9,6
16051,23.9,3
16053,37.5,7
16055,111.3,3
16057,34.6,4
16059,1.7,7
16061,8,8
16063,4.3,9
16065,80,4
16067,26.5,7
16069,46.3,3
16071,3.6,8
16073,1.5,2
16075,55.6,6
16077,5.6,6
16079,4.9,6
16081,22.6,9
16083,40.2,5
16085,2.7,8
16087,7,6
17000,231.1,NA
17001,78.5,5
17003,35,3
17005,46.7,1
17007,193,2
17009,22.7,7
17011,40.2,7
17013,20,1
17015,34.6,7
17017,36.3,6
17019,201.8,3
17021,49.1,6
17023,32.6,6
17025,29.5,7
17027,79.7,1
17029,106,5
17031,5495.1,1
17033,44.7,7
17035,31.9,9
17037,166.6,1
17039,41.7,3
17041,48,6
17043,2799.8,1
17045,29.8,6
17047,30.2,9
17049,71.5,7
17051,30.9,6
17053,29,3
17055,96.8,4
17057,42.8,6
17059,17.3,8
17061,25.6,6
17063,119.8,1
17065,19.5,7
17067,24.1,7
17069,24.3,9
17071,19.3,9
17073,61.3,2
17075,26.6,6
17077,103.1,3
17079,19.6,7
17081,68,7
17083,62.2,1
17085,37.7,6
17087,36.6,8
17089,990.8,1
17091,167.7,3
17093,358.2,1
17095,73.9,4
17097,1585.6,1
17099,100.4,4
17101,45.2,7
17103,49.7,6
17105,37.3,4
17107,49,6
17109,55.3,5
17111,511.9,1
17113,143.3,3
17115,190.8,3
17117,55.4,1
17119,376.3,1
17121,68.9,4
17123,32.7,2
17125,27.2,6
17127,65,7
17129,40.4,3
17131,29.3,2
17133,85.6,1
17135,42.8,6
17137,62.5,4
17139,44.2,6
17141,70.5,4
17143,301.2,2
17145,50.6,6
17147,38.1,3
17149,19.8,7
17151,12.1,8
17153,30.9,8
17155,37.5,8
17157,58.2,6
17159,45.1,7
17161,345,2
17163,410.6,1
17165,65.6,6
17167,227.4,3
17169,17.3,7
17171,21.3,9
17173,29.5,6
17175,20.8,2
17177,84.5,4
17179,208.6,2
17181,43.1,6
17183,90.9,3
17185,53.5,7
17187,32.6,6
17189,26.2,6
17191,23.5,7
17193,29.6,6
17195,85.5,4
17197,809.6,1
17199,157.9,3
17201,575.2,2
17203,73.3,2
18000,181,NA
18001,101.4,6
18003,540.6,2
18005,188.7,3
18007,21.8,3
18009,77.3,6
18011,133.9,1
18013,48.9,1
18015,54.1,3
18017,94.5,4
18019,295.6,1
18021,75.2,3
18023,82,6
18025,35.1,8
18027,73.7,7
18029,164.1,1
18031,69.1,6
18033,116.4,4
18035,300.1,3
18037,98,5
18039,426.5,3
18041,112.9,6
18043,504.1,1
18045,43.6,6
18047,60.1,6
18049,56.6,7
18051,68.7,6
18053,169.2,4
18055,61.1,6
18057,696.4,1
18059,228.8,1
18061,81.2,1
18063,357.4,1
18065,126.2,4
18067,282.4,3
18069,97,6
18071,83.2,4
18073,59.8,1
18075,55.4,6
18077,89.9,6
18079,75.7,6
18081,435.8,1
18083,74.5,5
18085,145.6,4
18087,97.8,6
18089,994.1,1
18091,186.3,3
18093,102.7,6
18095,291.3,1
18097,2279.6,1
18099,106.1,6
18101,30.8,7
18103,98.7,6
18105,349.7,3
18107,75.6,6
18109,170.5,1
18111,35.5,1
18113,115.7,6
18115,71.1,1
18117,49.8,6
18119,56,3
18121,39,6
18123,50.7,6
18125,38.4,8
18127,393,1
18129,63.3,2
18131,30.9,6
18133,79,1
18135,57.9,6
18137,64.6,6
18139,42.6,6
18141,583,2
18143,127,1
18145,108.1,1
18147,52.8,8
18149,75.6,6
18151,110.7,7
18153,48,3
18155,48.1,8
18157,345.7,3
18159,61.2,6
18161,46.6,1
18163,769.7,2
18165,63.1,3
18167,267.4,3
18169,79.7,6
18171,23.3,8
18173,155.1,2
18175,55,1
18177,171.5,5
18179,75.1,2
18181,48.8,6
18183,99.2,2
19000,54.5,NA
19001,13.5,8
19003,9.5,9
19005,22.4,6
19007,25.9,7
19009,13.8,8
19011,36.4,2
19013,231.7,3
19015,46,6
19017,55.7,3
19019,36.7,6
19021,35.2,7
19023,25.6,8
19025,17,9
19027,36.6,7
19029,24.7,6
19031,31.9,6
19033,77.7,5
19035,20.9,6
19037,24.7,6
19039,21.5,6
19041,29.4,7
19043,23.3,8
19045,70.7,4
19047,23.9,7
19049,112.4,2
19051,17.4,9
19053,15.9,9
19055,30.7,6
19057,96.9,5
19059,43.8,7
19061,154,3
19063,26,7
19065,28.6,6
19067,32.6,7
19069,18.4,7
19071,14.6,8
19073,16.4,6
19075,24.8,3
19077,18.5,2
19079,27.2,6
19081,19.9,7
19083,30.8,6
19085,21.4,2
19087,46.4,6
19089,20.2,6
19091,22.6,7
19093,16.4,8
19095,27.9,6
19097,31.2,6
19099,50.4,6
19101,38.7,7
19103,213.1,3
19105,35.9,2
19107,18.1,8
19109,16,7
19111,69.3,5
19113,294.6,2
19115,28.3,8
19117,20.7,6
19119,19.7,8
19121,27.9,2
19123,39.2,7
19125,60.1,6
19127,71,4
19129,34.4,2
19131,23,7
19133,13.3,6
19135,18.4,7
19137,25.3,6
19139,97.7,4
19141,25.1,7
19143,16.2,7
19145,29.8,6
19147,16.7,7
19149,29,3
19151,12.7,9
19153,750.5,2
19155,98,2
19157,32.3,7
19159,9.6,9
19161,18,9
19163,360.7,2
19165,20.6,6
19167,43.9,7
19169,156.3,3
19171,24.6,6
19173,11.9,9
19175,29.6,6
19177,15.6,9
19179,82.5,5
19181,81.1,2
19183,38.2,3
19185,12.2,9
19187,53.1,5
19189,27.1,7
19191,30.5,7
19193,117.1,3
19195,19,9
19197,22.8,7
20000,34.9,NA
20001,26.7,7
20003,14,6
20005,39.3,6
20007,4.3,9
20009,30.9,7
20011,23.9,6
20013,17.5,6
20015,46.1,2
20017,3.6,9
20019,5.7,8
20021,36.8,6
20023,2.7,9
20025,2.3,9
20027,13.2,6
20029,13.3,7
20031,13.7,6
20033,2.4,9
20035,32.3,4
20037,66.4,4
20039,3.3,9
20041,23.3,7
20043,20.2,3
20045,243.1,3
20047,4.9,9
20049,4.5,8
20051,31.6,5
20053,9.1,7
20055,28.2,5
20057,30.8,5
20059,45.5,6
20061,89.3,4
20063,2.5,9
20065,2.9,9
20067,13.6,7
20069,6.9,9
20071,1.6,9
20073,5.9,6
20075,2.7,9
20077,7.5,8
20079,64.3,2
20081,7.4,9
20083,2.2,9
20085,20.5,3
20087,35.9,3
20089,3.4,9
20091,1149.6,1
20093,4.6,9
20095,9.1,2
20097,3.5,9
20099,33.5,7
20101,2.4,9
20103,164.7,1
20105,4.5,9
20107,16.3,1
20109,2.6,9
20111,39.8,4
20113,32.5,7
20115,13.4,6
20117,11.2,6
20119,4.7,9
20121,57,1
20123,9.1,7
20125,55.1,5
20127,8.5,8
20129,4.4,9
20131,14.2,6
20133,28.9,7
20135,2.9,9
20137,6.5,7
20139,23.1,3
20141,4.3,9
20143,8.5,9
20145,9.2,7
20147,6.4,7
20149,25.7,3
20151,13.1,7
20153,2.4,9
20155,51.4,4
20157,6.9,9
20159,13.9,7
20161,116.6,3
20163,5.8,9
20165,4.6,9
20167,7.9,7
20169,77.2,5
20171,6.9,7
20173,499.6,2
20175,35.9,5
20177,327.1,3
20179,2.9,9
20181,5.7,7
20183,4.3,9
20185,5.6,9
20187,3.3,9
20189,7.9,7
20191,20.4,2
20193,7.4,7
20195,3.4,9
20197,8.9,3
20199,1.6,9
20201,6.5,9
20203,3.1,9
20205,16.5,7
20207,6.6,9
20209,1039,1
21000,109.9,NA
21001,46,7
21003,58,3
21005,106.1,6
21007,33.4,9
21009,86.5,6
21011,41.6,8
21013,79.9,7
21015,482.3,1
21017,69,2
21019,309.9,2
21021,157.8,7
21023,41.3,1
21025,28.2,7
21027,35.4,8
21029,250.2,1
21031,29.8,3
21033,37.7,7
21035,96.6,7
21037,597,1
21039,26.9,9
21041,84.1,6
21043,67.7,6
21045,35.9,9
21047,103.1,2
21049,141.1,2
21051,46.3,7
21053,52.1,9
21055,25.9,7
21057,22.5,9
21059,210.9,3
21061,40.2,3
21063,33.5,9
21065,58,6
21067,1042.8,2
21069,41.2,7
21071,100.3,7
21073,237.2,4
21075,33.2,9
21077,84.8,1
21079,73.5,6
21081,95.6,1
21083,67.3,7
21085,51.8,6
21087,39.4,8
21089,107.2,2
21091,45.6,3
21093,169.3,3
21095,62.9,7
21097,61.5,6
21099,44.2,8
21101,105.9,2
21103,53.9,1
21105,20.2,9
21107,86.6,5
21109,39.1,9
21111,1948.1,1
21113,282.3,2
21115,89.2,7
21117,996.7,1
21119,46.5,9
21121,82.5,7
21123,54.3,3
21125,135.6,5
21127,38.2,6
21129,37.8,9
21131,28.2,9
21133,72.6,9
21135,28.7,8
21137,74.1,7
21139,30.4,9
21141,48.6,6
21143,38.9,9
21145,263.6,5
21147,42.9,9
21149,37.8,3
21151,189.6,4
21153,43.2,9
21155,57.8,7
21157,104.4,7
21159,56.3,9
21161,72.8,6
21163,93.6,3
21165,31,9
21167,85.7,6
21169,34.9,9
21171,33.3,8
21173,134.3,6
21175,36.5,9
21177,67.4,6
21179,104,6
21181,36.6,8
21183,40.6,6
21185,322.2,1
21187,30.9,8
